Country,State,Year,City,"Pradhan Mantri Awas Yojana (Pmay) Investment Amount (UOM:INR(IndianRupees)), Scaling Factor:10000000","Pradhan Mantri Awas Yojana (Pmay) Central Assistance Sanctioned (UOM:INR(IndianRupees)), Scaling Factor:10000000","Pradhan Mantri Awas Yojana (Pmay) Central Assistance Released (UOM:INR(IndianRupees)), Scaling Factor:10000000","Pradhan Mantri Awas Yojana (Pmay) Houses Sanctioned (UOM:Number), Scaling Factor:1","Pradhan Mantri Awas Yojana (Pmay) Houses Grounded (UOM:Number), Scaling Factor:1","Pradhan Mantri Awas Yojana (Pmay) Houses Completed (UOM:Number), Scaling Factor:1"
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Chirala, Municipality",83.8700000000000000,26.1600000000000000,21.5000000000000000,1655.0000000000000000,1453.0000000000000000,1313.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Chittoor, Municipal Corporation",500.7400000000000000,169.7900000000000000,149.9000000000000000,11160.0000000000000000,9293.0000000000000000,7405.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025",Chittor Development Authority,1205.2600000000000000,532.1600000000000000,438.9000000000000000,35475.000000000000,35263.000000000000,25316.000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Dachepalli, Town Panchayat",56.5200000000000000,24.9800000000000000,11.6900000000000000,1665.0000000000000000,1553.0000000000000000,683.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Darsi, Town Panchayat",70.3800000000000000,28.1700000000000000,8.3000000000000000,1876.0000000000000000,726.0000000000000000,317.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Dharmavaram, Municipality",706.7200000000000000,237.1700000000000000,243.0900000000000000,15783.0000000000000000,14644.0000000000000000,5523.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Dhone, Municipality",174.5800000000000000,67.1700000000000000,54.4100000000000000,4450.0000000000000000,4090.0000000000000000,2810.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025",East Godavari Urban Development Authority,448.3500000000000000,182.5800000000000000,163.9600000000000000,12172.0000000000000000,12172.0000000000000000,6565.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025",Eluru Development Authority,2074.9000000000000000,982.9000000000000000,866.0900000000000000,65525.000000000000,65524.000000000000,46302.000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Eluru, Municipal Corporation",944.2700000000000000,318.7900000000000000,386.3000000000000000,20882.000000000000,20030.000000000000,6268.0000000000000000
