Investment,Central_assistance_sanctioned,Central_assistance_released,Houses_sanctioned,Houses_grounded,Houses_completed
0.006463056537109144,-0.24817061471460086,-0.1559437865637782,-0.40524391421261746,-0.34200062535742703,-0.3015474254719444
-0.8895389793044468,-0.9533708444448026,-1.1183828384681174,-0.8833070093300498,-1.1847428805756222,-1.5372938609601992
2.134335032321421,1.9183135609902058,1.8391872270427803,2.401218480335608,2.4349628433789494,2.639242424453968
0.5892678823480623,0.32034200331032275,-0.6992769730287742,0.35675432329674506,0.18763133357700526,0.25846540922205863
-1.3387257000829431,-1.2098244802204576,-1.1150236976225565,-1.1664007873824453,-1.0731921698224471,-1.1059819959316888
0.5087765620761853,0.40330269110926764,-0.05748292267763098,0.4140218240685295,-0.14202105990373992,-0.14906232261709
-0.06210013383117666,0.2207557351484624,0.2732824476743221,0.2507296830566955,0.24797596954640322,0.32722757342060493
0.2309736822475668,0.0890936202459398,0.01848930997870237,0.1006725236113015,0.10972614835431925,-0.32064253254079
1.434253813621898,1.3999985934335688,1.2445115922738095,1.5642277967833642,1.4841431912747995,1.3007255000330258
0.6370844858257809,0.7099767250866292,0.6650225117778743,0.7871189629778903,0.7649801324229618,0.7676746313342281
0.5236136734716745,0.62177982215274,0.6807783823676573,0.6869617109926313,0.7478222542952276,0.8676538290864817
0.2874512330006346,0.40635843650192416,0.4409798760854422,0.44749900150379845,0.431489947466529,0.5217644408385071
-1.1577768883157045,-0.947167560913918,-0.7937974905116897,-0.8895207073977766,-0.7933287403791071,-0.786568197391058
-0.2180615414811306,-0.2130435595625137,-0.39832032247404203,-0.2305920134514982,-0.3993414412752809,-0.5150554718168718
-0.13842778028979627,-0.06609195371020135,0.04140882535056679,-0.05069682924699868,0.013870653250182809,0.08113619779287537
-0.07034935662093433,0.026699782253039855,0.07977942576288566,0.05482078208098321,0.0448103117723363,0.11369652311468868
-0.8345580366701115,-1.0867231899067409,-0.9531703928561204,-1.1064877204133283,-1.0045130021735982,-1.027187227385285
1.3772337823684948,1.183068906641989,0.9724951507257876,1.333154826442112,1.1585030645141736,1.0638329695082163
-0.9864585449826849,-0.7719310476344275,-0.7027175931473648,-0.7192724089004312,-0.629684175812167,-0.6096760161529194
-0.2563600539317241,-0.04488758293866341,0.0019770903557418096,-0.017580318972973952,0.043438017007631405,0.06060621391130008
-0.11452810747112836,-0.28554427460830434,-0.7838509731845555,-0.26059980503819674,-1.0627861823063378,-1.0651156476008148
-1.374273684661689,-1.3571426498828323,-1.1970835707733107,-1.380670307858601,-1.2710342717157206,-1.3030415438059217
-1.0300190843089398,-0.947167560913918,-1.1783391247992054,-1.0744958737185923,0.0,0.0
0.6901394381089907,0.4930728248154053,0.37562526903622506,0.5239703731688719,0.41814150978479864,0.2655017898310812
0.08880194388740721,0.14221923365161368,0.1961214598048549,0.16370344089237818,0.14209020492664123,0.22706217444447147
-1.1045334030802294,-1.0189231958186076,-1.051294048455449,-0.9559770774291275,-0.8973944903484246,-1.3594986148866584
0.8000697891787434,0.9088030843147422,0.9021191094784087,1.0286600195541769,0.9844134763979857,1.1146242452609616
-0.7683027692483152,-0.5219920408447101,-0.46107795106165433,-0.4869011240410902,-0.4327073317112323,-0.525537685858563
0.18460383225492724,0.268781473469917,0.12650094039106977,0.30015978896586254,0.16556493224301602,0.19079433106007848
-0.19473357911076736,0.18304568752707998,0.1319102861996811,-0.26059980503819674,-0.5992293235240532,-0.5975580328762659
-0.2803623467977482,-0.6056481332018132,-0.7606228706076283,-0.6817097474718454,-0.9999479335880415,-0.9820889226115793
0.006873064481505995,-0.1012406397789316,0.017053016155001717,-0.3418646715406549,-0.2592288330313485,-0.19818999887765698
0.37757047833566604,0.27918627074156316,0.16538512892858548,0.291413375225581,0.035137794674466115,0.0
-0.8595921254703267,-0.8342715696806038,-1.131997548701106,-0.7670070127116818,-0.9319906275643529,-1.236397667437206
0.04807580564898396,-0.09514602124438552,-0.21612964040966504,-0.07582282248389606,-0.21710836632569305,-0.40038838976770386
-2.336469214438549,-1.8425128010547651,-1.669688217569494,-2.7057240127526496,-2.552851226001163,-2.6205955972785993
1.3431644441172457,1.3062120908004136,1.293621566453723,1.5006640028343587,1.5397457701118107,1.6910436250621768
2.7389501745089486,2.5525416138489216,2.2930575293590625,3.7424434655900627,3.726799040333359,3.525711463839843
0.9792918164686475,0.9072126718994767,0.8483536134574639,0.9847849968312177,0.9940507398785188,1.0791958092509226
-1.7048410202566517,-1.6846686600822824,-1.5127289658277607,-2.037864128596311,-1.9081466203239477,-1.9412503770230967
-0.2002299421044007,-0.2703076832205669,-0.28288538118292544,-0.26782542249250196,-0.32497112006768786,-0.4212410995948328
0.04169485018823634,-0.15080779369830563,-0.5200199235799984,-0.1179911482314114,-0.7143397283299495,0.0
0.23938240743846345,-0.02489335054495192,0.023248795181547273,-0.13107018491896702,-0.10648971417899152,-0.07402976383267125
-1.6680416830988603,-1.4171668851682049,-1.471291437378728,-1.4056038561649593,-1.5830071644217492,0.0
1.1636979004817891,0.8143720902768019,0.8493754926068313,0.6131142729036039,0.6515431658887925,0.7673976177412222
0.2306091040451205,0.1481466728176695,0.1632203509053303,0.1783962716429967,0.2494483910144749,0.03271205127170003
0.8368910436512358,0.4132202069322023,0.41510106545010345,0.341029022368772,0.26158454580150686,0.34140245868567826
-0.5314554464635943,-0.6778442820612374,-0.6790380888490484,-0.6191283985487533,-0.5805175485592715,-0.6502837253420829
2.6375933811174623,1.9823793282846385,1.8350414982437355,2.4141449706164035,2.4211751626661493,2.4816057067447237
0.32949624852542486,0.14912841478170877,0.07034030226539412,0.11246236825936677,0.0928740715636852,0.13760251558539596
-0.49448388614441374,-0.6451357228872989,-1.1932912226675028,-0.6153214753343621,-1.3477074181269333,-1.3594986148866584
-0.4190599901797156,-0.5378307750927427,-0.6907608186286751,-0.50378733373882,-0.7196072294167336,-0.7055185040685094
1.5204567252110601,1.3314723591818063,1.160076650376261,1.5287484284782205,1.4807515452438194,1.341189766501542
0.1135929437815111,0.02096655213068052,-0.020703767594356392,0.04498244994243935,0.00952510429146362,-0.028011352840763212
0.4593542419395116,0.4272684459605011,0.5586422036998132,0.36615873406164196,0.4241087566713087,0.3767923063764238
-0.5286610075042195,-0.4429601683077419,-0.33718688158303695,-0.425280072078229,-0.3406723371366329,-0.3059001807083847
-0.11861264904454327,-0.3247067854779373,0.0,-0.28467998931466,-0.42959040095329143,-2.6205955972785993
0.3811081171892547,0.5138423017701408,0.5291938920703174,0.5666000498451995,0.6022113401382404,0.68980250628725
0.019436300410894024,0.1077262887043974,-0.0904907692863297,0.12403422431111258,0.06964939266524023,-0.049637541601151046
0.2858878545586333,0.07132203645039396,-0.20297320347229805,0.08109941959378276,0.116459895935182,-0.12051415894731406
0.1785223899933554,0.08653699088000573,-0.5380228887585639,0.10799716647270088,-0.5151084402181695,-1.5821898563111405
-0.4453414835195095,-0.3997467374789288,0.0,-0.5697880885321965,-0.6764101721166054,0.0
-0.38296466833908804,-0.4402230202060207,-1.471291437378728,-0.40655832034854145,-1.877026992854993,-1.9084243927365345
-0.07019258579379496,-0.09262564523702853,-0.1175767006185555,-0.06165454822809579,-0.24559153253220517,-0.186129159390239
-0.5000983378465566,-0.4787534714357117,-0.35588739088612154,-0.5069118548822917,-0.42034269076855346,-0.38688553191187475
-0.40255212160994447,-0.24488840362727898,-0.12378526585965036,-0.20856863834476838,-0.13362811056043244,-0.07303544444237156
-0.3080282078289276,-0.1799177745397748,-0.06414698201387627,-0.14697841125407896,-0.0738209292458682,-0.03078997285344623
-0.09241352797462232,-0.13434645212413918,-1.669688217569494,-0.10281799115427723,-2.552851226001163,-2.6205955972785993
-0.5272687752361692,-0.6969439470015139,-0.5579492014949086,-0.7147186905886304,-0.6230122317172564,-0.5927819372663801
0.9977943153502387,1.0523853892381434,1.0259014075976958,1.2081469070314077,1.2588958986387209,1.197183248077913
0.34508892895454923,0.4831604739138276,0.5518192962499381,0.5327181541369727,0.5919962515055046,0.6925853766629646
-0.8614207996287464,-0.633771744461998,-0.5050204836974976,-0.5803855277936195,-0.49202382617075074,-0.47298900141889566
0.49920626609111296,0.5933384596903315,0.643360111234361,0.6554036222348084,0.6930286674874422,0.8012004405487437
-0.27539070150690104,-0.622613363142997,-0.8100572948550145,-0.6059155322470282,-0.5169249032530144,-1.4583211360676545
-0.4895744192323897,-0.7504354567651352,-0.7027175931473648,-0.7498247517654183,-0.6572296407999998,-1.3304787804885614
-0.4432307496359444,-0.6238432514572739,-0.5472373082666272,-0.6903217852549174,-0.7091238704621488,-0.6883722792242291
0.2595530028072057,0.3157877973607747,0.3800947827093436,0.335961998350608,0.38427939935763555,0.45735639795095834
-0.06240923807132039,-0.06131105521404691,0.0014835122917091948,-0.06535125187990244,0.01097713008839873,0.0484516736837575
